JGS,CommunityOnly,StateOnly,CommunityOnlyStripped,MatchColumn,PORT,PORT_NAME,PORT_STATE,BRAD_PORT_NAME_STATE,NoParen
NEWINGTON_NH,NEWINGTON,NH,NEWINGTON,NEWINGTONNH,320701,NEWINGTON,NH,NEWINGTON_NH,NEWINGTON_NH
NEWPORT NEWS_VA,NEWPORT NEWS,VA,NEWPORTNEWS,NEWPORTNEWSVA,490910,NEWPORT NEWS,VA,NEWPORT NEWS_VA,NEWPORT NEWS_VA
NEWPORT_RI,NEWPORT,RI,NEWPORT,NEWPORTRI,420105,NEWPORT,RI,NEWPORT_RI,NEWPORT_RI
NORTH_KINGSTOWN_SAUNDERSTOWN_RI,NORTH_KINGSTOWN_SAUNDERSTOWN,RI,NORTHKINGSTOWNSAUNDERSTOWN,NORTHKINGSTOWNSAUNDERSTOWNRI,421509,NORTH KINGSTOWN (WICKFORD),RI,NORTH KINGSTOWN (WICKFORD)_RI,NORTH KINGSTOWN_RI
NORTHEAST HARBOR_ME,NORTHEAST HARBOR,ME,NORTHEASTHARBOR,NORTHEASTHARBORME,224503,NORTHEAST HARBOR,ME,NORTHEAST HARBOR_ME,NORTHEAST HARBOR_ME
OCEAN CITY_MD,OCEAN CITY,MD,OCEANCITY,OCEANCITYMD,230131,OCEAN CITY HARBOR,MD,OCEAN CITY HARBOR_MD,OCEAN CITY HARBOR_MD
OGUNQUIT_ME,OGUNQUIT,ME,OGUNQUIT,OGUNQUITME,227420,OGUNQUIT,ME,OGUNQUIT_ME,OGUNQUIT_ME
ORIENTAL_NC,ORIENTAL,NC,ORIENTAL,ORIENTALNC,360437,ORIENTAL,NC,ORIENTAL_NC,ORIENTAL_NC
ORLEANS_MA,ORLEANS,MA,ORLEANS,ORLEANSMA,241601,ORLEANS,MA,ORLEANS_MA,ORLEANS_MA
OWLS HEAD_ME,OWLS HEAD,ME,OWLSHEAD,OWLSHEADME,221807,OWLS HEAD,ME,OWLS HEAD_ME,OWLS HEAD_ME
PLYMOUTH_MA,PLYMOUTH,MA,PLYMOUTH,PLYMOUTHMA,240513,PLYMOUTH,MA,PLYMOUTH_MA,PLYMOUTH_MA
POINT  PLEASANT_NJ,POINT  PLEASANT,NJ,POINTPLEASANT,POINTPLEASANTNJ,330127,POINT PLEASANT,NJ,POINT PLEASANT_NJ,POINT PLEASANT_NJ
POINT JUDITH_RI,POINT JUDITH,RI,POINTJUDITH,POINTJUDITHRI,420209,POINT JUDITH,RI,POINT JUDITH_RI,POINT JUDITH_RI
POINT LOOKOUT_NY,POINT LOOKOUT,NY,POINTLOOKOUT,POINTLOOKOUTNY,351215,POINT LOOKOUT,NY,POINT LOOKOUT_NY,POINT LOOKOUT_NY
PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD_ME,PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD,ME,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEAD,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEADME,221907,PORT CLYDE,ME,PORT CLYDE_ME,PORT CLYDE_ME
PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD_ME,PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD,ME,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEAD,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEADME,222207,TENANTS HARBOR,ME,TENANTS HARBOR_ME,TENANTS HARBOR_ME
PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD_ME,PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD,ME,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEAD,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEADME,222107,ST. GEORGE,ME,ST. GEORGE_ME,ST.GEORGE_ME
PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD_ME,PORT_CLYDE_TENANTS_HARBOR_SAINT_GEORGE_SPRUCE_HEAD,ME,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEAD,PORTCLYDETENANTSHARBORSAINTGEORGESPRUCEHEADME,222007,SPRUCE HEAD,ME,SPRUCE HEAD_ME,SPRUCE HEAD_ME
PORTLAND_ME,PORTLAND,ME,PORTLAND,PORTLANDME,220101,PORTLAND,ME,PORTLAND_ME,PORTLAND_ME
PORTSMOUTH_NH,PORTSMOUTH,NH,PORTSMOUTH,PORTSMOUTHNH,320201,PORTSMOUTH,NH,PORTSMOUTH_NH,PORTSMOUTH_NH
PROVINCETOWN_MA,PROVINCETOWN,MA,PROVINCETOWN,PROVINCETOWNMA,240601,PROVINCETOWN WHARF,MA,PROVINCETOWN WHARF_MA,PROVINCETOWN WHARF_MA
REEDVILLE_DISTRICT_5_VA,REEDVILLE_DISTRICT_5,VA,REEDVILLEDISTRICT5,REEDVILLEDISTRICT5VA,495247,REEDVILLE,VA,REEDVILLE_VA,REEDVILLE_VA
