JGS,CommunityOnly,StateOnly,CommunityOnlyStripped,MatchColumn,PORT,PORT_NAME,PORT_STATE,BRAD_PORT_NAME_STATE,NoParen
SOUTHWEST HARBOR_ME,SOUTHWEST HARBOR,ME,SOUTHWESTHARBOR,SOUTHWESTHARBORME,223403,SOUTHWEST HARBOR,ME,SOUTHWEST HARBOR_ME,SOUTHWEST HARBOR_ME
PLYMOUTH_MA,PLYMOUTH,MA,PLYMOUTH,PLYMOUTHMA,240513,PLYMOUTH,MA,PLYMOUTH_MA,PLYMOUTH_MA
PLYMOUTH_MA,PLYMOUTH,MA,PLYMOUTH,PLYMOUTHMA,240913,PLYMOUTH (COUNTY),MA,PLYMOUTH (COUNTY)_MA,PLYMOUTH_MA
CUTLER_ME,CUTLER,ME,CUTLER,CUTLERME,225819,CUTLER,ME,CUTLER_ME,CUTLER_ME
FAIRHAVEN_MA,FAIRHAVEN,MA,FAIRHAVEN,FAIRHAVENMA,242203,FAIRHAVEN,MA,FAIRHAVEN_MA,FAIRHAVEN_MA
YORK_ME,YORK,ME,YORK,YORKME,220920,YORK (COUNTY),ME,YORK (COUNTY)_ME,YORK_ME
YORK_ME,YORK,ME,YORK,YORKME,227120,YORK,ME,YORK_ME,YORK_ME
ROUND POND_ME,ROUND POND,ME,ROUNDPOND,ROUNDPONDME,224709,ROUND POND,ME,ROUND POND_ME,ROUND POND_ME
BOOTHBAY HARBOR_ME,BOOTHBAY HARBOR,ME,BOOTHBAYHARBOR,BOOTHBAYHARBORME,224109,BOOTHBAY HARBOR,ME,BOOTHBAY HARBOR_ME,BOOTHBAY HARBOR_ME
STUEBEN_ME,STUEBEN,ME,STUEBEN,STUEBENME,NA,NA,NA,NA,NA
OWLS HEAD_ME,OWLS HEAD,ME,OWLSHEAD,OWLSHEADME,221807,OWLS HEAD,ME,OWLS HEAD_ME,OWLS HEAD_ME
OGUNQUIT_ME,OGUNQUIT,ME,OGUNQUIT,OGUNQUITME,227420,OGUNQUIT,ME,OGUNQUIT_ME,OGUNQUIT_ME
HARPSWELL CENTER_ME,HARPSWELL CENTER,ME,HARPSWELLCENTER,HARPSWELLCENTERME,221301,HARPSWELL CENTER,ME,HARPSWELL CENTER_ME,HARPSWELL CENTER_ME
MARBLEHEAD_MA,MARBLEHEAD,MA,MARBLEHEAD,MARBLEHEADMA,243107,MARBLEHEAD,MA,MARBLEHEAD_MA,MARBLEHEAD_MA
CUNDYS HARBOR_ME,CUNDYS HARBOR,ME,CUNDYSHARBOR,CUNDYSHARBORME,220501,CUNDYS HARBOR,ME,CUNDYS HARBOR_ME,CUNDYS HARBOR_ME
NANTUCKET_MA,NANTUCKET,MA,NANTUCKET,NANTUCKETMA,240909,NANTUCKET (NANTUCKET CENTER),MA,NANTUCKET (NANTUCKET CENTER)_MA,NANTUCKET_MA
BUCKS HARBOR_ME,BUCKS HARBOR,ME,BUCKSHARBOR,BUCKSHARBORME,225719,BUCKS HARBOR,ME,BUCKS HARBOR_ME,BUCKS HARBOR_ME
MACHIASPORT_ME,MACHIASPORT,ME,MACHIASPORT,MACHIASPORTME,227719,MACHIASPORT,ME,MACHIASPORT_ME,MACHIASPORT_ME
FALL RIVER_MA,FALL RIVER,MA,FALLRIVER,FALLRIVERMA,240903,FALL RIVER,MA,FALL RIVER_MA,FALL RIVER_MA
FRIENDSHIP_ME,FRIENDSHIP,ME,FRIENDSHIP,FRIENDSHIPME,221407,FRIENDSHIP,ME,FRIENDSHIP_ME,FRIENDSHIP_ME
NEW LONDON_CT,NEW LONDON,CT,NEWLONDON,NEWLONDONCT,71811,NEW LONDON,CT,NEW LONDON_CT,NEW LONDON_CT
NEW LONDON_CT,NEW LONDON,CT,NEWLONDON,NEWLONDONCT,70911,NEW LONDON (COUNTY),CT,NEW LONDON (COUNTY)_CT,NEW LONDON_CT
CHINCOTEAGUE_VA,CHINCOTEAGUE,VA,CHINCOTEAGUE,CHINCOTEAGUEVA,490701,CHINCOTEAGUE,VA,CHINCOTEAGUE_VA,CHINCOTEAGUE_VA
COHASSET_MA,COHASSET,MA,COHASSET,COHASSETMA,242511,COHASSET,MA,COHASSET_MA,COHASSET_MA
KITTERY_KITTERY_POINT_ME,KITTERY_KITTERY_POINT,ME,KITTERYKITTERYPOINT,KITTERYKITTERYPOINTME,NA,NA,NA,NA,NA
WELLFLEET_MA,WELLFLEET,MA,WELLFLEET,WELLFLEETMA,241101,WELLFLEET,MA,WELLFLEET_MA,WELLFLEET_MA
HAMPTON_BAYS_SHINNECOCK_NY,HAMPTON_BAYS_SHINNECOCK,NY,HAMPTONBAYSSHINNECOCK,HAMPTONBAYSSHINNECOCKNY,NA,NA,NA,NA,NA
NORTHEAST HARBOR_ME,NORTHEAST HARBOR,ME,NORTHEASTHARBOR,NORTHEASTHARBORME,224503,NORTHEAST HARBOR,ME,NORTHEAST HARBOR_ME,NORTHEAST HARBOR_ME
WEST POINT_ME,WEST POINT,ME,WESTPOINT,WESTPOINTME,225515,WEST POINT,ME,WEST POINT_ME,WEST POINT_ME
HULL_MA,HULL,MA,HULL,HULLMA,244013,HULL,MA,HULL_MA,HULL_MA
CAPE PORPOISE_ME,CAPE PORPOISE,ME,CAPEPORPOISE,CAPEPORPOISEME,226820,CAPE PORPOISE,ME,CAPE PORPOISE_ME,CAPE PORPOISE_ME
NEWINGTON_NH,NEWINGTON,NH,NEWINGTON,NEWINGTONNH,320701,NEWINGTON,NH,NEWINGTON_NH,NEWINGTON_NH
SOUTH THOMASTON_ME,SOUTH THOMASTON,ME,SOUTHTHOMASTON,SOUTHTHOMASTONME,220407,SOUTH THOMASTON,ME,SOUTH THOMASTON_ME,SOUTH THOMASTON_ME
BUNKERS HARBOR_ME,BUNKERS HARBOR,ME,BUNKERSHARBOR,BUNKERSHARBORME,222703,BUNKERS HARBOR,ME,BUNKERS HARBOR_ME,BUNKERS HARBOR_ME
GOULDSBORO_COREA_PROSPECT_HARBOR_ME,GOULDSBORO_COREA_PROSPECT_HARBOR,ME,GOULDSBOROCOREAPROSPECTHARBOR,GOULDSBOROCOREAPROSPECTHARBORME,NA,NA,NA,NA,NA
FIVE ISLANDS_ME,FIVE ISLANDS,ME,FIVEISLANDS,FIVEISLANDSME,225015,FIVE ISLANDS,ME,FIVE ISLANDS_ME,FIVE ISLANDS_ME
HOBUCKEN_NC,HOBUCKEN,NC,HOBUCKEN,HOBUCKENNC,360237,HOBUCKEN,NC,HOBUCKEN_NC,HOBUCKEN_NC
BAR HARBOR_ME,BAR HARBOR,ME,BARHARBOR,BARHARBORME,222403,BAR HARBOR,ME,BAR HARBOR_ME,BAR HARBOR_ME
MATINICUS_ME,MATINICUS,ME,MATINICUS,MATINICUSME,221607,MATINICUS,ME,MATINICUS_ME,MATINICUS_ME
BREMEN_ME,BREMEN,ME,BREMEN,BREMENME,224209,BREMEN,ME,BREMEN_ME,BREMEN_ME
TREMONT_ME,TREMONT,ME,TREMONT,TREMONTME,222503,TREMONT,ME,TREMONT_ME,TREMONT_ME
HARPSWELL_BAILEY_ISLAND_ME,HARPSWELL_BAILEY_ISLAND,ME,HARPSWELLBAILEYISLAND,HARPSWELLBAILEYISLANDME,NA,NA,NA,NA,NA
IPSWICH_MA,IPSWICH,MA,IPSWICH,IPSWICHMA,241507,IPSWICH (IPSWICH CENTER),MA,IPSWICH (IPSWICH CENTER)_MA,IPSWICH_MA
BARNEGAT LIGHT/LONG BEACH_NJ,BARNEGAT LIGHT/LONG BEACH,NJ,BARNEGATLIGHTLONGBEACH,BARNEGATLIGHTLONGBEACHNJ,NA,NA,NA,NA,NA
SWANS ISLAND_ME,SWANS ISLAND,ME,SWANSISLAND,SWANSISLANDME,223803,SWANS ISLAND,ME,SWANS ISLAND_ME,SWANS ISLAND_ME
NAHANT_MA,NAHANT,MA,NAHANT,NAHANTMA,243207,NAHANT,MA,NAHANT_MA,NAHANT_MA
BRISTOL_RI,BRISTOL,RI,BRISTOL,BRISTOLRI,420601,BRISTOL,RI,BRISTOL_RI,BRISTOL_RI
BRISTOL_RI,BRISTOL,RI,BRISTOL,BRISTOLRI,420901,BRISTOL (COUNTY),RI,BRISTOL (COUNTY)_RI,BRISTOL_RI
HYANNIS_MA,HYANNIS,MA,HYANNIS,HYANNISMA,242801,HYANNIS,MA,HYANNIS_MA,HYANNIS_MA
EDGARTOWN_MA,EDGARTOWN,MA,EDGARTOWN,EDGARTOWNMA,240205,EDGARTOWN,MA,EDGARTOWN_MA,EDGARTOWN_MA
REEDVILLE_DISTRICT_5_VA,REEDVILLE_DISTRICT_5,VA,REEDVILLEDISTRICT5,REEDVILLEDISTRICT5VA,NA,NA,NA,NA,NA
WOODS HOLE_MA,WOODS HOLE,MA,WOODSHOLE,WOODSHOLEMA,241901,WOODS HOLE,MA,WOODS HOLE_MA,WOODS HOLE_MA
AVALON_NJ,AVALON,NJ,AVALON,AVALONNJ,331009,AVALON,NJ,AVALON_NJ,AVALON_NJ
SMALL POINT_ME,SMALL POINT,ME,SMALLPOINT,SMALLPOINTME,225415,SMALL POINT,ME,SMALL POINT_ME,SMALL POINT_ME
WARWICK_RI,WARWICK,RI,WARWICK,WARWICKRI,421003,WARWICK (RR - APPONAUG),RI,WARWICK (RR - APPONAUG)_RI,WARWICK_RI
ROCKPORT_ME,ROCKPORT,ME,ROCKPORT,ROCKPORTME,220307,ROCKPORT,ME,ROCKPORT_ME,ROCKPORT_ME
ORLEANS_MA,ORLEANS,MA,ORLEANS,ORLEANSMA,241601,ORLEANS,MA,ORLEANS_MA,ORLEANS_MA
